V1,issue,Dem_quote_text,Repub_quote_text,ideo,pid,ranking1,ranking3,gender,age,race,Repub_both,Repub_quote,Repub_issue,Repub_neither,approval,Dem_both,Dem_quote,Dem_issue,Dem_neither,approval
R_0PYjYGIND6ehB85,National security,We should do everything it takes to make sure Democrats win the next election.,We should do everything it takes to make sure Republicans win the next election.,Very Conservative,Strong Republican,National security,Social security,Female,55-64,White/Caucasian,1,,,,Approve strongly,,,,,
R_5bFtLAm4fZGB2Ip,Health care,We should do everything it takes to make sure Democrats win the next election.,We should do everything it takes to make sure Republicans win the next election.,Liberal,Strong Democrat,Health care,Immigration,Female,65 or over,White/Caucasian,,,,,,1,,,,Approve strongly
R_3nAVUzCB2Gy8dP9,Immigration,We should do everything it takes to make sure Republicans lose the next election.,We should do everything it takes to make sure Democrats lose the next election.,Moderate,Weak Republican,Immigration,Environment,Female,25-34,African American,1,,,,Approve strongly,,,,,
R_3D0IqnYkIHbP4qi,Environment,We should do everything it takes to make sure Republicans lose the next election.,We should do everything it takes to make sure Democrats lose the next election.,Very Liberal,Strong Democrat,Education,Environment,Male,35-44,White/Caucasian,,,,,,,,1,,Approve somewhat
R_1o0i75pAzENlOkJ,Health care,We should do everything it takes to make sure Democrats win the next election.,We should do everything it takes to make sure Republicans win the next election.,Moderate,Weak Democrat,Health care,Jobs,Female,35-44,White/Caucasian,,,,,,1,,,,Disapprove somewhat
R_rrNfulfpzWXbPSF,Health care,We should do everything it takes to make sure Republicans lose the next election.,We should do everything it takes to make sure Democrats lose the next election.,Liberal,Weak Democrat,Health care,Jobs,Female,35-44,White/Caucasian,,,,,,,,1,,Approve somewhat
R_2frGMPhApwfTr9c,Terrorism,We should do everything it takes to make sure Republicans lose the next election.,We should do everything it takes to make sure Democrats lose the next election.,Liberal,Strong Democrat,Environment,Terrorism,Male,18-24,White/Caucasian,,,,,,,,1,,Approve strongly
R_31EDqGi4d7ZNbsD,Health care,We should do everything it takes to make sure Democrats win the next election.,We should do everything it takes to make sure Democrats lose the next election.,Moderate,Independent,Health care,Crime,Female,25-34,White/Caucasian,,,,1,Neither approve nor disapprove,,,,,
R_2yaoqptepvHHXZ7,Crime,We should do everything it takes to make sure Democrats win the next election.,We should do everything it takes to make sure Democrats lose the next election.,Liberal,Independent,Jobs,Crime,Female,18-24,Native American,1,,,,Approve somewhat,,,,,
R_2ypVG18EvLJykGY,Crime,We should do everything it takes to make sure Democrats win the next election.,We should do everything it takes to make sure Republicans win the next election.,Liberal,Independent,Environment,Crime,Male,45-54,White/Caucasian,,1,,,Disapprove strongly,,,,,
R_2QSu7cSgucg39Kn,National security,We should do everything it takes to make sure Republicans lose the next election.,We should do everything it takes to make sure Republicans win the next election.,Liberal,Strong Democrat,Environment,National security,Female,65 or over,White/Caucasian,,,,,,,,1,,Approve somewhat
R_3rOKJeRZrZsMBdg,Environment,We should do everything it takes to make sure Democrats win the next election.,We should do everything it takes to make sure Democrats lose the next election.,Very Conservative,Strong Republican,Environment,Jobs,Female,35-44,White/Caucasian,,1,,,Approve strongly,,,,,
R_1zxem41QgChanJv,Jobs,We should do everything it takes to make sure Democrats win the next election.,We should do everything it takes to make sure Republicans win the next election.,Liberal,Weak Democrat,Health care,Jobs,Female,18-24,African American,,,,,,1,,,,Neither approve nor disapprove
R_1DZlkwSniotaZPT,Social security,We should do everything it takes to make sure Democrats win the next election.,We should do everything it takes to make sure Democrats lose the next election.,Conservative,Weak Democrat,Crime,Social security,Male,55-64,African American,,,,,,,1,,,Approve somewhat
R_3PzqB4tcWt7gvhU,Immigration,We should do everything it takes to make sure Democrats win the next election.,We should do everything it takes to make sure Republicans win the next election.,Conservative,Strong Democrat,Jobs,Immigration,Male,35-44,White/Caucasian,,,,,,1,,,,Approve strongly
R_2co6XLpNUFH4K6Y,Health care,We should do everything it takes to make sure Democrats win the next election.,We should do everything it takes to make sure Democrats lose the next election.,Liberal,Strong Democrat,Health care,Jobs,Female,35-44,African American,,,,,,1,,,,Disapprove strongly
R_1n6iSj19mhQF6jF,Education,We should do everything it takes to make sure Democrats win the next election.,We should do everything it takes to make sure Republicans win the next election.,Moderate,Lean Democrat,Jobs,Education,Male,25-34,Asian,,,,,,,,1,,Approve somewhat
R_3rInq3FugVamCQm,Jobs,We should do everything it takes to make sure Republicans lose the next election.,We should do everything it takes to make sure Republicans win the next election.,Conservative,Lean Republican,Immigration,Jobs,Female,18-24,White/Caucasian,1,,,,Disapprove somewhat,,,,,
R_2aL8GBtlRlxo4jk,Health care,We should do everything it takes to make sure Democrats win the next election.,We should do everything it takes to make sure Republicans win the next election.,Not Sure,Independent,Health care,Jobs,Female,55-64,African American,,,,,,1,,,,Approve strongly
R_1rJRjmIOsjuF7xm,Terrorism,We should do everything it takes to make sure Republicans lose the next election.,We should do everything it takes to make sure Democrats lose the next election.,Moderate,Independent,Terrorism,Jobs,Female,25-34,Hispanic,,,,,,,,1,,Approve somewhat
R_3GpIha1G8URh9s7,Immigration,We should do everything it takes to make sure Democrats win the next election.,We should do everything it takes to make sure Democrats lose the next election.,Conservative,Independent,Jobs,Immigration,Male,35-44,White/Caucasian,,,,,,,1,,,Disapprove somewhat
R_1gvAOPawjOqzsDb,Terrorism,We should do everything it takes to make sure Democrats win the next election.,We should do everything it takes to make sure Democrats lose the next election.,Conservative,Strong Republican,Immigration,Terrorism,Female,65 or over,White/Caucasian,,,,1,Neither approve nor disapprove,,,,,
R_pmevLLndJiGG7D3,Jobs,We should do everything it takes to make sure Republicans lose the next election.,We should do everything it takes to make sure Democrats lose the next election.,Moderate,Independent,Health care,Jobs,Female,25-34,White/Caucasian,,1,,,Neither approve nor disapprove,,,,,
R_3IaxYoVv1Pmx4Ld,Jobs,We should do everything it takes to make sure Republicans lose the next election.,We should do everything it takes to make sure Republicans win the next election.,Conservative,Independent,Jobs,Crime,Male,35-44,African American,,,1,,Approve strongly,,,,,
R_29vr8Jd23Mll89C,Education,We should do everything it takes to make sure Democrats win the next election.,We should do everything it takes to make sure Democrats lose the next election.,Not Sure,Not sure,Social security,Education,Female,35-44,White/Caucasian,,,,,,,,,1,Neither approve nor disapprove
R_217Dp6lKrQTO4oC,Health care,We should do everything it takes to make sure Democrats win the next election.,We should do everything it takes to make sure Democrats lose the next election.,Liberal,Weak Democrat,Jobs,Health care,Female,25-34,African American,,,,,,,,1,,Approve somewhat
R_3HjGa35P9LlmlhQ,National security,We should do everything it takes to make sure Democrats win the next election.,We should do everything it takes to make sure Republicans win the next election.,Moderate,Weak Republican,Social security,National security,Female,65 or over,White/Caucasian,1,,,,Disapprove somewhat,,,,,
R_2saIJYxYyIWKsEV,Social security,We should do everything it takes to make sure Democrats win the next election.,We should do everything it takes to make sure Republicans win the next election.,Very Conservative,Strong Republican,Jobs,Social security,Male,25-34,White/Caucasian,,,,1,Approve strongly,,,,,
R_2R9u6ASSqaFsK7v,Health care,We should do everything it takes to make sure Democrats win the next election.,We should do everything it takes to make sure Democrats lose the next election.,Liberal,Lean Democrat,Crime,Health care,Female,25-34,Other,,,,,,,,,1,Neither approve nor disapprove
R_2QJTzRTIfhuqXJE,Environment,We should do everything it takes to make sure Democrats win the next election.,We should do everything it takes to make sure Republicans win the next election.,Liberal,Strong Republican,Immigration,Environment,Male,45-54,White/Caucasian,,,1,,Approve somewhat,,,,,
R_3lMJ6rg4auktgEu,Drug addiction,We should do everything it takes to make sure Democrats win the next election.,We should do everything it takes to make sure Republicans win the next election.,Moderate,Independent,Drug addiction,Environment,Male,18-24,African American,,,,,,1,,,,Approve somewhat
R_6lowk9PJ1AAhBbH,Immigration,We should do everything it takes to make sure Republicans lose the next election.,We should do everything it takes to make sure Democrats lose the next election.,Moderate,Strong Democrat,Immigration,Health care,Male,35-44,Hispanic,,,,,,1,,,,Approve strongly
R_XLgfELbRw9COTdL,Social security,We should do everything it takes to make sure Democrats win the next election.,We should do everything it takes to make sure Republicans win the next election.,Liberal,Independent,Social security,Health care,Female,55-64,White/Caucasian,,,,,,,1,,,Disapprove strongly
R_2aaurbuFBxUYiEw,Jobs,We should do everything it takes to make sure Democrats win the next election.,We should do everything it takes to make sure Republicans win the next election.,Conservative,Strong Democrat,Jobs,Drug addiction,Female,35-44,White/Caucasian,,,,,,,1,,,Approve strongly
R_2RUkPFQrlindQjr,Crime,We should do everything it takes to make sure Republicans lose the next election.,We should do everything it takes to make sure Republicans win the next election.,Conservative,Independent,Environment,Crime,Male,25-34,African American,,,,,,,1,,,Approve strongly
R_2tniVtqgRcxwSvl,Crime,We should do everything it takes to make sure Democrats win the next election.,We should do everything it takes to make sure Democrats lose the next election.,Very Liberal,Strong Democrat,Health care,Crime,Female,25-34,African American,,,,,,1,,,,Approve strongly
R_3qkgRoBtsK2tqg7,Jobs,We should do everything it takes to make sure Democrats win the next election.,We should do everything it takes to make sure Republicans win the next election.,Conservative,Strong Democrat,Jobs,Crime,Male,45-54,African American,,,,,,,,1,,Approve somewhat
R_3Rr2gDS8ejOHO0b,Health care,We should do everything it takes to make sure Republicans lose the next election.,We should do everything it takes to make sure Democrats lose the next election.,Liberal,Lean Democrat,Health care,Drug addiction,Male,25-34,Hispanic,,,,,,,,1,,Approve strongly
R_1Fxi60tqKAf0lrD,Crime,We should do everything it takes to make sure Democrats win the next election.,We should do everything it takes to make sure Democrats lose the next election.,Moderate,Strong Democrat,Jobs,Crime,Male,35-44,African American,,,,,,1,,,,Approve somewhat
R_CkSofFguDZaUoBb,Health care,We should do everything it takes to make sure Democrats win the next election.,We should do everything it takes to make sure Republicans win the next election.,Moderate,Strong Democrat,Health care,Health care,Male,25-34,White/Caucasian,,,,,,1,,,,Neither approve nor disapprove
R_1gSZOASinmsaQ9I,Environment,We should do everything it takes to make sure Republicans lose the next election.,We should do everything it takes to make sure Republicans win the next election.,Very Conservative,Weak Republican,Environment,Immigration,Female,18-24,White/Caucasian,1,,,,Approve somewhat,,,,,
R_1E1bZQWtCYfybHE,Crime,We should do everything it takes to make sure Democrats win the next election.,We should do everything it takes to make sure Democrats lose the next election.,Conservative,Strong Republican,Terrorism,Crime,Female,25-34,Asian,,,1,,Approve strongly,,,,,
R_1KvtSpv06TsG5Zr,Education,We should do everything it takes to make sure Democrats win the next election.,We should do everything it takes to make sure Democrats lose the next election.,Liberal,Weak Democrat,Education,Health care,Female,45-54,Hispanic,,,,,,1,,,,Approve somewhat
R_231BC0BuWJabIGX,Social security,We should do everything it takes to make sure Republicans lose the next election.,We should do everything it takes to make sure Democrats lose the next election.,Moderate,Strong Democrat,Drug addiction,Social security,Female,25-34,White/Caucasian,,,,,,,,,1,Neither approve nor disapprove
R_WvWJJSxWiXceVFv,Environment,We should do everything it takes to make sure Democrats win the next election.,We should do everything it takes to make sure Democrats lose the next election.,Liberal,Strong Democrat,Environment,Jobs,Female,25-34,Asian,,,,,,,,,1,Approve somewhat
R_3JJc9PqCxSsQH1w,Education,We should do everything it takes to make sure Republicans lose the next election.,We should do everything it takes to make sure Republicans win the next election.,Liberal,Independent,Jobs,Education,Female,25-34,Asian,1,,,,Approve strongly,,,,,
R_dnEfvaDZUcsol0d,Health care,We should do everything it takes to make sure Democrats win the next election.,We should do everything it takes to make sure Republicans win the next election.,Conservative,Strong Republican,Health care,Health care,Male,25-34,White/Caucasian,,1,,,Approve somewhat,,,,,
R_1JVnQeITHbbmi5z,Education,We should do everything it takes to make sure Democrats win the next election.,We should do everything it takes to make sure Republicans win the next election.,Moderate,Weak Democrat,Immigration,Education,Female,18-24,Hispanic,,,,,,1,,,,Approve strongly
R_vNXemFjJQk0gUgx,Education,We should do everything it takes to make sure Republicans lose the next election.,We should do everything it takes to make sure Republicans win the next election.,Moderate,Independent,Immigration,Education,Female,35-44,White/Caucasian,,,,,,,1,,,Neither approve nor disapprove
R_RsJdmfUMPoCU1oJ,Immigration,We should do everything it takes to make sure Republicans lose the next election.,We should do everything it takes to make sure Republicans win the next election.,Conservative,Independent,Immigration,Terrorism,Female,35-44,White/Caucasian,,,,,,1,,,,Neither approve nor disapprove
R_Xk9R9Ms4v0phaCZ,National security,We should do everything it takes to make sure Democrats win the next election.,We should do everything it takes to make sure Republicans win the next election.,Moderate,Independent,National security,Education,Male,18-24,Native American,1,,,,Approve somewhat,,,,,
R_1l0ud4C3kI4iLXu,Terrorism,We should do everything it takes to make sure Republicans lose the next election.,We should do everything it takes to make sure Democrats lose the next election.,Liberal,Independent,Crime,Terrorism,Female,45-54,Hispanic,,,,,,1,,,,Approve strongly
R_3ozihFFgTDpIerX,Jobs,We should do everything it takes to make sure Democrats win the next election.,We should do everything it takes to make sure Republicans win the next election.,Moderate,Not sure,Social security,Jobs,Female,25-34,White/Caucasian,,,,,,,,1,,Neither approve nor disapprove
R_7OMlFnSFwnkG1MJ,Drug addiction,We should do everything it takes to make sure Republicans lose the next election.,We should do everything it takes to make sure Republicans win the next election.,Moderate,Not sure,Drug addiction,Crime,Female,35-44,Asian,,,,,,,,1,,Neither approve nor disapprove
R_2OPdVLjSoR0fZ0p,National security,We should do everything it takes to make sure Democrats win the next election.,We should do everything it takes to make sure Democrats lose the next election.,Very Conservative,Strong Republican,Immigration,National security,Male,45-54,Other,1,,,,Approve strongly,,,,,
R_33150cM5aNdu7Ry,Health care,We should do everything it takes to make sure Republicans lose the next election.,We should do everything it takes to make sure Republicans win the next election.,Moderate,Independent,National security,Health care,Female,65 or over,White/Caucasian,,,1,,Neither approve nor disapprove,,,,,
R_vZS2Iaf7dqG03G9,Drug addiction,We should do everything it takes to make sure Republicans lose the next election.,We should do everything it takes to make sure Republicans win the next election.,Very Conservative,Strong Republican,National security,Drug addiction,Female,55-64,White/Caucasian,1,,,,Approve strongly,,,,,
R_323c52iQabXwfww,Jobs,We should do everything it takes to make sure Republicans lose the next election.,We should do everything it takes to make sure Republicans win the next election.,Conservative,Lean Republican,Jobs,Health care,Male,45-54,Hispanic,1,,,,Approve strongly,,,,,
R_3qs1pE2lGX59EMd,Education,We should do everything it takes to make sure Republicans lose the next election.,We should do everything it takes to make sure Republicans win the next election.,Very Liberal,Strong Democrat,Environment,Education,Female,25-34,White/Caucasian,,,,,,1,,,,Approve strongly
R_1CIb70ciSw3CesX,Health care,We should do everything it takes to make sure Republicans lose the next election.,We should do everything it takes to make sure Republicans win the next election.,Liberal,Strong Democrat,National security,Health care,Male,35-44,African American,,,,,,1,,,,Approve somewhat
R_26bCQ7b0NXIAwpF,Immigration,We should do everything it takes to make sure Republicans lose the next election.,We should do everything it takes to make sure Republicans win the next election.,Not Sure,Not sure,Immigration,Jobs,Female,18-24,Hispanic,,,1,,Approve strongly,,,,,
R_1n3FdTvJFCnIGsi,Social security,We should do everything it takes to make sure Democrats win the next election.,We should do everything it takes to make sure Democrats lose the next election.,Conservative,Strong Democrat,Social security,Health care,Female,35-44,White/Caucasian,,,,,,1,,,,Disapprove somewhat
R_3mZZ6uwQXK2raow,Immigration,We should do everything it takes to make sure Democrats win the next election.,We should do everything it takes to make sure Republicans win the next election.,Conservative,Weak Republican,Immigration,Social security,Female,65 or over,White/Caucasian,,1,,,Approve strongly,,,,,
R_2tfeus9nm5ScoEO,Jobs,We should do everything it takes to make sure Democrats win the next election.,We should do everything it takes to make sure Republicans win the next election.,Moderate,Strong Republican,Immigration,Jobs,Female,35-44,White/Caucasian,,,1,,Approve strongly,,,,,
R_2QLEnAGNWJmuTJx,Jobs,We should do everything it takes to make sure Republicans lose the next election.,We should do everything it takes to make sure Republicans win the next election.,Very Conservative,Strong Republican,Jobs,Crime,Male,25-34,White/Caucasian,,1,,,Approve strongly,,,,,
R_3nIOCsv5IJmBu9T,Jobs,We should do everything it takes to make sure Democrats win the next election.,We should do everything it takes to make sure Republicans win the next election.,Moderate,Independent,Health care,Jobs,Female,25-34,White/Caucasian,1,,,,Approve somewhat,,,,,
R_2X0xxagLXh1W6Hj,Jobs,We should do everything it takes to make sure Republicans lose the next election.,We should do everything it takes to make sure Democrats lose the next election.,Moderate,Lean Democrat,Environment,Jobs,Female,35-44,White/Caucasian,,,,,,,,,1,Neither approve nor disapprove
R_1Ibfw14iHxDS2vr,Health care,We should do everything it takes to make sure Republicans lose the next election.,We should do everything it takes to make sure Republicans win the next election.,Moderate,Weak Democrat,Health care,Social security,Male,45-54,White/Caucasian,,,,,,,,1,,Approve somewhat
R_6JyW3BZWic1GbHb,Social security,We should do everything it takes to make sure Republicans lose the next election.,We should do everything it takes to make sure Republicans win the next election.,Very Liberal,Strong Democrat,Social security,Jobs,Female,35-44,White/Caucasian,,,,,,,1,,,Approve somewhat
R_3kLDh4rFwoHihdJ,Jobs,We should do everything it takes to make sure Democrats win the next election.,We should do everything it takes to make sure Republicans win the next election.,Moderate,Independent,Health care,Jobs,Female,45-54,Native American,,,,,,,1,,,Neither approve nor disapprove
R_3lzdmIgfsutpuEl,National security,We should do everything it takes to make sure Democrats win the next election.,We should do everything it takes to make sure Democrats lose the next election.,Conservative,Lean Republican,National security,Immigration,Male,45-54,African American,,,1,,Approve strongly,,,,,
R_bjToP9MNqLagwHT,Crime,We should do everything it takes to make sure Democrats win the next election.,We should do everything it takes to make sure Republicans win the next election.,Moderate,Independent,Jobs,Crime,Male,25-34,Asian,,,,,,1,,,,Neither approve nor disapprove
R_3NWnrraCkobpYib,Social security,We should do everything it takes to make sure Republicans lose the next election.,We should do everything it takes to make sure Republicans win the next election.,Very Conservative,Strong Republican,Jobs,Social security,Male,35-44,African American,,1,,,Approve strongly,,,,,
R_SPpBCyOEPhcIKI1,Health care,We should do everything it takes to make sure Republicans lose the next election.,We should do everything it takes to make sure Republicans win the next election.,Liberal,Weak Democrat,Health care,Environment,Female,18-24,White/Caucasian,,,,,,1,,,,Approve somewhat
R_296bfo4FUY8lh7D,Social security,We should do everything it takes to make sure Republicans lose the next election.,We should do everything it takes to make sure Republicans win the next election.,Liberal,Weak Democrat,Immigration,Social security,Male,18-24,Asian,,,,,,,1,,,Neither approve nor disapprove
R_WwVTNzOnw9MmR7H,Jobs,We should do everything it takes to make sure Republicans lose the next election.,We should do everything it takes to make sure Democrats lose the next election.,Moderate,Weak Democrat,Jobs,National security,Female,25-34,African American,,,,,,,1,,,Approve strongly
R_cUzk9a9kmKG0jbb,Immigration,We should do everything it takes to make sure Republicans lose the next election.,We should do everything it takes to make sure Republicans win the next election.,Liberal,Lean Democrat,Immigration,Environment,Male,18-24,Hispanic,,,,,,,,1,,Approve somewhat
R_2a9yhmRgBct5VSp,Health care,We should do everything it takes to make sure Republicans lose the next election.,We should do everything it takes to make sure Democrats lose the next election.,Moderate,Not sure,Health care,Jobs,Female,55-64,White/Caucasian,1,,,,Approve somewhat,,,,,
R_2rRymDxz88QO4JX,Education,We should do everything it takes to make sure Republicans lose the next election.,We should do everything it takes to make sure Democrats lose the next election.,Moderate,Lean Democrat,Health care,Education,Female,35-44,Asian,,,,,,1,,,,Neither approve nor disapprove
R_27kghXVgi7pgt3D,Environment,We should do everything it takes to make sure Republicans lose the next election.,We should do everything it takes to make sure Republicans win the next election.,Moderate,Lean Democrat,Jobs,Environment,Male,35-44,White/Caucasian,,,,,,,,1,,Neither approve nor disapprove
R_3QJCrdyQ4PmkCal,Crime,We should do everything it takes to make sure Republicans lose the next election.,We should do everything it takes to make sure Republicans win the next election.,Very Liberal,Strong Democrat,Jobs,Crime,Female,45-54,White/Caucasian,,,,,,1,,,,Approve strongly
R_3KD7Xtm1HlQTjNL,Health care,We should do everything it takes to make sure Democrats win the next election.,We should do everything it takes to make sure Democrats lose the next election.,Moderate,Independent,Health care,Environment,Female,45-54,White/Caucasian,,1,,,Disapprove strongly,,,,,
R_3DjxDD5st6jD98D,Health care,We should do everything it takes to make sure Republicans lose the next election.,We should do everything it takes to make sure Democrats lose the next election.,Very Liberal,Strong Democrat,Health care,Health care,Female,18-24,White/Caucasian,,,,,,,1,,,Approve somewhat
R_1rOfcWDVsf5NZWp,National security,We should do everything it takes to make sure Democrats win the next election.,We should do everything it takes to make sure Democrats lose the next election.,Not Sure,Not sure,Terrorism,National security,Male,25-34,White/Caucasian,,,,,,,1,,,Neither approve nor disapprove
R_3HqvplQFYFRA1LM,Social security,We should do everything it takes to make sure Democrats win the next election.,We should do everything it takes to make sure Democrats lose the next election.,Very Conservative,Strong Democrat,Jobs,Social security,Female,35-44,White/Caucasian,,,,,,1,,,,Approve strongly
R_24LXRGFFxTa7m1n,Social security,We should do everything it takes to make sure Republicans lose the next election.,We should do everything it takes to make sure Democrats lose the next election.,Moderate,Independent,Immigration,Social security,Female,35-44,White/Caucasian,1,,,,Disapprove strongly,,,,,
R_22CWJMlhDxhvNF2,Jobs,We should do everything it takes to make sure Democrats win the next election.,We should do everything it takes to make sure Democrats lose the next election.,Moderate,Lean Democrat,Jobs,Education,Male,25-34,African American,,,,,,,,1,,Neither approve nor disapprove
R_3sj1cPrv7yoqnGo,Education,We should do everything it takes to make sure Republicans lose the next election.,We should do everything it takes to make sure Republicans win the next election.,Liberal,Lean Democrat,Jobs,Education,Female,18-24,African American,,,,,,1,,,,Approve strongly
R_2q7u5rPJUag8iwe,Environment,We should do everything it takes to make sure Republicans lose the next election.,We should do everything it takes to make sure Democrats lose the next election.,Moderate,Lean Democrat,Environment,Health care,Male,18-24,White/Caucasian,,,,,,,,,1,Approve somewhat
R_3lEbT6pdKubSBif,Health care,We should do everything it takes to make sure Democrats win the next election.,We should do everything it takes to make sure Republicans win the next election.,Not Sure,Not sure,Health care,Jobs,Female,55-64,White/Caucasian,,,,,,,,1,,Approve strongly
R_3j2tZPDQqXrGAdh,Social security,We should do everything it takes to make sure Democrats win the next election.,We should do everything it takes to make sure Republicans win the next election.,Liberal,Strong Republican,Immigration,Social security,Male,55-64,White/Caucasian,1,,,,Approve somewhat,,,,,
R_1QrSCDYh7IqmlQL,National security,We should do everything it takes to make sure Democrats win the next election.,We should do everything it takes to make sure Democrats lose the next election.,Conservative,Strong Republican,National security,Drug addiction,Female,55-64,White/Caucasian,,,,1,Neither approve nor disapprove,,,,,
R_2alPrcQPN8T9omU,Health care,We should do everything it takes to make sure Democrats win the next election.,We should do everything it takes to make sure Democrats lose the next election.,Moderate,Independent,Health care,Drug addiction,Female,35-44,White/Caucasian,1,,,,Neither approve nor disapprove,,,,,
R_33shBPWCowPbvB6,Terrorism,We should do everything it takes to make sure Democrats win the next election.,We should do everything it takes to make sure Democrats lose the next election.,Conservative,Weak Republican,National security,Terrorism,Female,25-34,White/Caucasian,1,,,,Approve strongly,,,,,
R_3kcvzdMOt4hd31p,National security,We should do everything it takes to make sure Republicans lose the next election.,We should do everything it takes to make sure Democrats lose the next election.,Very Conservative,Strong Democrat,Jobs,National security,Male,35-44,White/Caucasian,,,,,,,,,1,Approve strongly
R_3lMlublux69i7br,Jobs,We should do everything it takes to make sure Republicans lose the next election.,We should do everything it takes to make sure Republicans win the next election.,Moderate,Strong Democrat,Health care,Jobs,Female,55-64,White/Caucasian,,,,,,,,,1,Neither approve nor disapprove
R_23eMoCEqKAU5mpK,Education,We should do everything it takes to make sure Republicans lose the next election.,We should do everything it takes to make sure Democrats lose the next election.,Moderate,Independent,Education,Crime,Male,35-44,White/Caucasian,,,1,,Disapprove strongly,,,,,
R_3e2CdxGcJn1izrf,Jobs,We should do everything it takes to make sure Republicans lose the next election.,We should do everything it takes to make sure Republicans win the next election.,Moderate,Independent,Health care,Jobs,Female,35-44,African American,,,,,,1,,,,Disapprove somewhat
R_3R3q4JzMCunOxci,Environment,We should do everything it takes to make sure Republicans lose the next election.,We should do everything it takes to make sure Republicans win the next election.,Very Liberal,Strong Democrat,Social security,Environment,Male,25-34,Hispanic,,,,,,1,,,,Disapprove strongly
R_yQ5OmVvHrdkhTd7,National security,We should do everything it takes to make sure Republicans lose the next election.,We should do everything it takes to make sure Republicans win the next election.,Liberal,Independent,Jobs,National security,Male,25-34,African American,,,,1,Approve strongly,,,,,
R_2zBfDKUy7DlzFOR,Environment,We should do everything it takes to make sure Democrats win the next election.,We should do everything it takes to make sure Republicans win the next election.,Liberal,Lean Democrat,Social security,Environment,Male,45-54,White/Caucasian,,,,,,1,,,,Approve strongly
R_1Hk0PpC8Q7iv9no,Jobs,We should do everything it takes to make sure Democrats win the next election.,We should do everything it takes to make sure Democrats lose the next election.,Very Conservative,Strong Democrat,Jobs,Social security,Female,25-34,African American,,,,,,1,,,,Approve strongly
R_pcPKQlhrfkSsPGF,Terrorism,We should do everything it takes to make sure Republicans lose the next election.,We should do everything it takes to make sure Democrats lose the next election.,Not Sure,Independent,Immigration,Terrorism,Female,55-64,White/Caucasian,,,,,,1,,,,Neither approve nor disapprove
R_tR4yVipcQeotbqh,Jobs,We should do everything it takes to make sure Democrats win the next election.,We should do everything it takes to make sure Republicans win the next election.,Very Liberal,Strong Democrat,Health care,Jobs,Male,65 or over,African American,,,,,,,1,,,Approve somewhat
R_27yeziCUEd2dIfE,Jobs,We should do everything it takes to make sure Democrats win the next election.,We should do everything it takes to make sure Democrats lose the next election.,Conservative,Weak Republican,Jobs,Immigration,Male,18-24,White/Caucasian,1,,,,Neither approve nor disapprove,,,,,
